id;name;email
e97c7eb6-16b8-4fd4-92a1-e15dc7ec429f;as connecting;Eleanora_Lehner61@gmail.com
46a00e44-490b-4f30-a3a8-d239c01f72d3;contingency;Geoffrey.Lehner@yahoo.com
9f707c7c-5c48-4587-9dbc-9c299200784c;Chips Computer partnerships;Antonina70@hotmail.com
be91d17d-0736-4eb7-8a71-ab1a1688b664;state District;Oleta_Wolff@gmail.com
1fcc53bd-4c43-464c-aa63-8beccaba9933;orange deposit;Quincy98@hotmail.com
3b91d3ff-c8c6-42f4-9764-c00a3e8f346e;Practical Loan;Mellie_OKon@gmail.com
c1bf2993-d367-4b6a-8cfc-6f571aeae051;Kwanza Fantastic Fresh;Rhea_Schmeler94@yahoo.com
b48d74f4-a93f-4e3c-9bbb-329c732bbd54;Rubber;Henry.Fisher@gmail.com
02c54257-b0e6-4c96-9e85-a32b123361de;Grocery Pre-emptive Virginia;Destany80@hotmail.com
8cae84c9-113b-4968-805f-077b1d2327e3;Fresh Account;Rollin.Koelpin79@gmail.com
